#name,x,y,alt,heading,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
0074_tilt_020_pan_020_f70.jpg,0.350933,-0.964181,3.694078,-19.999999,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0075_tilt_020_pan_030_f70.jpg,0.51303,-0.888594,3.694078,-30.000001,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0076_tilt_020_pan_040_f70.jpg,0.659539,-0.786008,3.694078,-39.999999,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0077_tilt_020_pan_050_f70.jpg,0.786008,-0.659539,3.694078,-50.0,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0078_tilt_020_pan_060_f70.jpg,0.888594,-0.51303,3.694078,-60.000002,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0079_tilt_020_pan_070_f70.jpg,0.964181,-0.350933,3.694078,-70.0,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0080_tilt_020_pan_080_f70.jpg,1.010472,-0.178174,3.694078,-79.999998,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0081_tilt_020_pan_090_f70.jpg,1.02606,-0.0,3.694078,-90.000003,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0082_tilt_020_pan_100_f70.jpg,1.010472,0.178174,3.694078,-100.000001,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0083_tilt_020_pan_110_f70.jpg,0.964181,0.350933,3.694078,-109.999999,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0084_tilt_020_pan_120_f70.jpg,0.888594,0.51303,3.694078,-120.000003,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0085_tilt_020_pan_130_f70.jpg,0.786008,0.659539,3.694078,-130.000001,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0086_tilt_020_pan_140_f70.jpg,0.659539,0.786008,3.694078,-139.999999,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0087_tilt_020_pan_150_f70.jpg,0.51303,0.888594,3.694078,-149.999997,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0088_tilt_020_pan_160_f70.jpg,0.350933,0.964181,3.694078,-159.999995,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0089_tilt_020_pan_170_f70.jpg,0.178174,1.010472,3.694078,-169.999993,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0090_tilt_020_pan_180_f70.jpg,0.0,1.02606,3.694078,-180.000005,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0091_tilt_020_pan_190_f70.jpg,-0.178174,1.010472,3.694078,-190.000003,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0092_tilt_020_pan_200_f70.jpg,-0.350933,0.964181,3.694078,-200.000001,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0093_tilt_020_pan_210_f70.jpg,-0.51303,0.888594,3.694078,-209.999999,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0094_tilt_020_pan_220_f70.jpg,-0.659539,0.786008,3.694078,-219.999997,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0095_tilt_020_pan_230_f70.jpg,-0.786008,0.659539,3.694078,-230.000009,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0096_tilt_020_pan_240_f70.jpg,-0.888594,0.51303,3.694078,-240.000007,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0097_tilt_020_pan_250_f70.jpg,-0.964181,0.350933,3.694078,-250.000005,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0098_tilt_020_pan_260_f70.jpg,-1.010472,0.178174,3.694078,-260.000003,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0099_tilt_020_pan_270_f70.jpg,-1.02606,0.0,3.694078,-270.000001,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0100_tilt_020_pan_280_f70.jpg,-1.010472,-0.178174,3.694078,-279.999999,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0101_tilt_020_pan_290_f70.jpg,-0.964181,-0.350933,3.694078,-289.999997,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0102_tilt_020_pan_300_f70.jpg,-0.888594,-0.51303,3.694078,-299.999995,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0103_tilt_020_pan_310_f70.jpg,-0.786008,-0.659539,3.694078,-309.999993,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0104_tilt_020_pan_320_f70.jpg,-0.659539,-0.786008,3.694078,-319.999991,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0105_tilt_020_pan_330_f70.jpg,-0.51303,-0.888594,3.694078,-329.999989,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0106_tilt_020_pan_340_f70.jpg,-0.350933,-0.964181,3.694078,-339.999987,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0107_tilt_020_pan_350_f70.jpg,-0.178174,-1.010472,3.694078,-350.000012,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0108_tilt_030_pan_000_f70.jpg,0.0,-1.5,3.473076,-0.0,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0109_tilt_030_pan_010_f70.jpg,0.260472,-1.477212,3.473076,-10.0,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0110_tilt_030_pan_020_f70.jpg,0.51303,-1.409539,3.473076,-19.999999,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0111_tilt_030_pan_030_f70.jpg,0.75,-1.299038,3.473076,-30.000001,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0112_tilt_030_pan_040_f70.jpg,0.964181,-1.149067,3.473076,-39.999999,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0113_tilt_030_pan_050_f70.jpg,1.149067,-0.964181,3.473076,-50.0,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0114_tilt_030_pan_060_f70.jpg,1.299038,-0.75,3.473076,-60.000002,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0115_tilt_030_pan_070_f70.jpg,1.409539,-0.51303,3.473076,-70.0,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0116_tilt_030_pan_080_f70.jpg,1.477212,-0.260472,3.473076,-79.999998,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0117_tilt_030_pan_090_f70.jpg,1.5,-0.0,3.473076,-90.000003,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0118_tilt_030_pan_100_f70.jpg,1.477212,0.260472,3.473076,-100.000001,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0119_tilt_030_pan_110_f70.jpg,1.409539,0.51303,3.473076,-109.999999,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0120_tilt_030_pan_120_f70.jpg,1.299038,0.75,3.473076,-120.000003,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0121_tilt_030_pan_130_f70.jpg,1.149067,0.964181,3.473076,-130.000001,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0122_tilt_030_pan_140_f70.jpg,0.964181,1.149067,3.473076,-139.999999,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0123_tilt_030_pan_150_f70.jpg,0.75,1.299038,3.473076,-149.999997,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0124_tilt_030_pan_160_f70.jpg,0.51303,1.409539,3.473076,-159.999995,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0125_tilt_030_pan_170_f70.jpg,0.260472,1.477212,3.473076,-169.999993,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0126_tilt_030_pan_180_f70.jpg,0.0,1.5,3.473076,-180.000005,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0127_tilt_030_pan_190_f70.jpg,-0.260472,1.477212,3.473076,-190.000003,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0128_tilt_030_pan_200_f70.jpg,-0.51303,1.409539,3.473076,-200.000001,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0129_tilt_030_pan_210_f70.jpg,-0.75,1.299038,3.473076,-209.999999,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0130_tilt_030_pan_220_f70.jpg,-0.964181,1.149067,3.473076,-219.999997,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0131_tilt_030_pan_230_f70.jpg,-1.149067,0.964181,3.473076,-230.000009,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0132_tilt_030_pan_240_f70.jpg,-1.299038,0.75,3.473076,-240.000007,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0133_tilt_030_pan_250_f70.jpg,-1.409539,0.51303,3.473076,-250.000005,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0134_tilt_030_pan_260_f70.jpg,-1.477212,0.260472,3.473076,-260.000003,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0135_tilt_030_pan_270_f70.jpg,-1.5,0.0,3.473076,-270.000001,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0136_tilt_030_pan_280_f70.jpg,-1.477212,-0.260472,3.473076,-279.999999,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0137_tilt_030_pan_290_f70.jpg,-1.409539,-0.51303,3.473076,-289.999997,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0138_tilt_030_pan_300_f70.jpg,-1.299038,-0.75,3.473076,-299.999995,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0139_tilt_030_pan_310_f70.jpg,-1.149067,-0.964181,3.473076,-309.999993,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0140_tilt_030_pan_320_f70.jpg,-0.964181,-1.149067,3.473076,-319.999991,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0141_tilt_030_pan_330_f70.jpg,-0.75,-1.299038,3.473076,-329.999989,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0142_tilt_030_pan_340_f70.jpg,-0.51303,-1.409539,3.473076,-339.999987,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0143_tilt_030_pan_350_f70.jpg,-0.260472,-1.477212,3.473076,-350.000012,30.000001,0.0,70.0,0,0,0,0,0,0,0,0
0144_tilt_040_pan_000_f70.jpg,0.0,-1.928363,3.173133,-0.0,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0145_tilt_040_pan_010_f70.jpg,0.334857,-1.899067,3.173133,-10.0,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0146_tilt_040_pan_020_f70.jpg,0.659539,-1.812068,3.173133,-19.999999,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0147_tilt_040_pan_030_f70.jpg,0.964181,-1.670011,3.173133,-30.000001,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0148_tilt_040_pan_040_f70.jpg,1.239528,-1.477212,3.173133,-39.999999,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0149_tilt_040_pan_050_f70.jpg,1.477212,-1.239528,3.173133,-50.0,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0150_tilt_040_pan_060_f70.jpg,1.670011,-0.964181,3.173133,-60.000002,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0151_tilt_040_pan_070_f70.jpg,1.812068,-0.659539,3.173133,-70.0,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0152_tilt_040_pan_080_f70.jpg,1.899067,-0.334857,3.173133,-79.999998,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0153_tilt_040_pan_090_f70.jpg,1.928363,-0.0,3.173133,-90.000003,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0154_tilt_040_pan_100_f70.jpg,1.899067,0.334857,3.173133,-100.000001,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0155_tilt_040_pan_110_f70.jpg,1.812068,0.659539,3.173133,-109.999999,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0156_tilt_040_pan_120_f70.jpg,1.670011,0.964181,3.173133,-120.000003,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0157_tilt_040_pan_130_f70.jpg,1.477212,1.239528,3.173133,-130.000001,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0158_tilt_040_pan_140_f70.jpg,1.239528,1.477212,3.173133,-139.999999,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0159_tilt_040_pan_150_f70.jpg,0.964181,1.670011,3.173133,-149.999997,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0160_tilt_040_pan_160_f70.jpg,0.659539,1.812068,3.173133,-159.999995,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0161_tilt_040_pan_170_f70.jpg,0.334857,1.899067,3.173133,-169.999993,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0162_tilt_040_pan_180_f70.jpg,0.0,1.928363,3.173133,-180.000005,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0163_tilt_040_pan_190_f70.jpg,-0.334857,1.899067,3.173133,-190.000003,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0164_tilt_040_pan_200_f70.jpg,-0.659539,1.812068,3.173133,-200.000001,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0165_tilt_040_pan_210_f70.jpg,-0.964181,1.670011,3.173133,-209.999999,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0166_tilt_040_pan_220_f70.jpg,-1.239528,1.477212,3.173133,-219.999997,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0167_tilt_040_pan_230_f70.jpg,-1.477212,1.239528,3.173133,-230.000009,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0168_tilt_040_pan_240_f70.jpg,-1.670011,0.964181,3.173133,-240.000007,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0169_tilt_040_pan_250_f70.jpg,-1.812068,0.659539,3.173133,-250.000005,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0170_tilt_040_pan_260_f70.jpg,-1.899067,0.334857,3.173133,-260.000003,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0171_tilt_040_pan_270_f70.jpg,-1.928363,0.0,3.173133,-270.000001,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0172_tilt_040_pan_280_f70.jpg,-1.899067,-0.334857,3.173133,-279.999999,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0173_tilt_040_pan_290_f70.jpg,-1.812068,-0.659539,3.173133,-289.999997,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0174_tilt_040_pan_300_f70.jpg,-1.670011,-0.964181,3.173133,-299.999995,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0175_tilt_040_pan_310_f70.jpg,-1.477212,-1.239528,3.173133,-309.999993,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0176_tilt_040_pan_320_f70.jpg,-1.239528,-1.477212,3.173133,-319.999991,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0177_tilt_040_pan_330_f70.jpg,-0.964181,-1.670011,3.173133,-329.999989,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0178_tilt_040_pan_340_f70.jpg,-0.659539,-1.812068,3.173133,-339.999987,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0179_tilt_040_pan_350_f70.jpg,-0.334857,-1.899067,3.173133,-350.000012,39.999999,0.0,70.0,0,0,0,0,0,0,0,0
0180_tilt_050_pan_000_f70.jpg,0.0,-2.298133,2.803363,-0.0,50.0,0.0,70.0,0,0,0,0,0,0,0,0
0181_tilt_050_pan_010_f70.jpg,0.399067,-2.26322,2.803363,-10.0,50.0,0.0,70.0,0,0,0,0,0,0,0,0
0182_tilt_050_pan_020_f70.jpg,0.786008,-2.159539,2.803363,-19.999999,50.0,0.0,70.0,0,0,0,0,0,0,0,0
0183_tilt_050_pan_030_f70.jpg,1.149067,-1.990242,2.803363,-30.000001,50.0,0.0,70.0,0,0,0,0,0,0,0,0
